Time, id, PM2.5, PM10, SO2, CO, NO2, O3
time, 1, 100, 250, 750, 55, 1000, 330
time, 2, 120, 260, 760, 56, 1100, 340
time, 3, 130, 270, 770, 57, 1200, 350
time, 4, 140, 280, 780, 58, 1300, 360
time, 5, 150, 290, 790, 59, 1310, 370
time, 6, 160, 300, 800, 60, 1400, 400
time, 7, 170, 350, 810, 61, 1250, 410
time, 8, 180, 360, 820, 62, 1360, 420
time, 9, 190, 310, 830, 63, 2350, 430
time, 10, 200, 320, 840, 79, 2000, 380
time, 11, 100, 380, 825, 35, 900, 450
time, 12, 90, 400, 730, 36, 950, 390
time, 13, 400, 120, 600, 68, 1111, 399
time, 14, 140, 130, 610, 80, 1390, 401
time, 15, 78, 70, 620, 45, 1299, 200
time, 16, 69, 80, 630, 35, 5555, 135
time, 17, 9000, 9000, 9000, 9000, 9000, 9000
